State,City Or County,# Incidents
Ohio,Cincinnati,4.0
Tennessee,Lawrenceburg,1.0
Alabama,Huntsville,7.0
Montana,Hungry Horse,1.0
North Dakota,Minot,1.0
Utah,Tooele,1.0
Michigan,Grand Rapids,1.0
Pennsylvania,Pittsburgh (Bloomfield),1.0
Washington,Federal Way,2.0
Pennsylvania,Reading,1.0
Arizona,Queen Creek,1.0
California,Scotts Valley,1.0
Washington,Cle Elum,1.0
Wisconsin,Ontario,1.0
South Carolina,Sumter,2.0
Ohio,Barberton,2.0
New York,Fort Drum,1.0
Florida,Vero Beach,2.0
Arkansas,Conway,1.0
Florida,Wildwood,1.0
Ohio,Ashtabula,2.0
Colorado,Olathe,1.0
Ohio,Tipp City,1.0
Ohio,Newark,2.0
Texas,Cypress,2.0
Texas,Wichita Falls,1.0
Tennessee,Goodlettsville,1.0
Tennessee,Parrottsville,1.0
Virginia,Lynchburg,1.0
West Virginia,Grafton,1.0
Louisiana,Pitkin,1.0
Illinois,Mount Vernon,1.0
Connecticut,Hartford,2.0
West Virginia,New Martinsville,1.0
Mississippi,Jackson,3.0
Mississippi,De Kalb,1.0
California,Red Bluff,1.0
Florida,Dunedin,1.0
South Carolina,Summerville,1.0
Ohio,Youngstown,2.0
Colorado,Colorado Springs,5.0
Missouri,Festus,1.0
Kentucky,Nicholasville,1.0
Idaho,Deary,1.0
Florida,Deltona,1.0
Wisconsin,Waupaca,1.0
Virginia,Portsmouth,1.0
Arizona,Tucson,1.0
Minnesota,Saint Paul,1.0
Connecticut,Wethersfield,1.0
Ohio,Cleveland,5.0
South Carolina,Cordova,1.0
Texas,Kountze,1.0
Florida,Miami Beach,2.0
Louisiana,Plaquemine,2.0
Virginia,Unionville,1.0
Maine,Scarborough,1.0
Pennsylvania,Fredericktown,1.0
Texas,Corpus Christi,5.0
Florida,Port Charlotte,1.0
Arkansas,Little Rock,4.0
Florida,Palm Bay,1.0
Alabama,Anniston,1.0
Oregon,Blue River,1.0
California,Santa Maria,1.0
Colorado,Lafayette,1.0
Ohio,West Chester,1.0
Indiana,Campbellsburg,1.0
Texas,Bacliff,1.0
Virginia,Alexandria,1.0
Mississippi,Horn Lake,3.0
Ohio,Cleveland (Parma),1.0
South Carolina,Florence,2.0
Alabama,Cedar Bluff,1.0
Michigan,Battle Creek,2.0
Mississippi,Edwards,1.0
South Carolina,Anderson,1.0
Washington,Bremerton,1.0
Georgia,Atlanta,4.0
Florida,Eustis,1.0
Tennessee,Lexington,1.0
North Carolina,Greensboro,1.0
Texas,El Paso,3.0
Indiana,Holton,1.0
Louisiana,Farmerville (Rocky Branch),1.0
Wisconsin,Sparta,1.0
North Dakota,Mayville,1.0
Tennessee,La Follette (LaFollette),1.0
Florida,Winter Garden,1.0
Michigan,Warren,1.0
Texas,Roby,1.0
Mississippi,Brookhaven,1.0
Florida,Pinellas Park,1.0
Kentucky,Bell (county),1.0
Alaska,Manokotak,1.0
Tennessee,Big Rock,1.0
Virginia,Richmond,7.0
Maryland,Edgewood,1.0
Wisconsin,Menasha,1.0
Missouri,Saint Louis (University City),1.0
West Virginia,Morgantown,1.0
California,Twentynine Palms (Twentynine Palms Mcb),2.0
Massachusetts,Athol,1.0
Ohio,Warren,1.0
South Carolina,Beaufort,1.0
Washington,Pe Ell,1.0
Louisiana,Westwego (Bridge City),1.0
Ohio,Miamisburg,3.0
Wisconsin,Racine,5.0
District of Columbia,Washington,3.0
Ohio,Toledo,4.0
Mississippi,Saucier,1.0
Maine,Baldwin,1.0
Utah,Salt Lake City (West Valley City),5.0
Texas,Diboll (Burke),1.0
Alaska,Anchorage,3.0
New York,Yonkers,1.0
Mississippi,Falkner,1.0
Alabama,Winston (county),1.0
Kentucky,Coal Run,1.0
Texas,San Antonio,13.0
California,Ontario,1.0
Texas,Houston,16.0
Iowa,Westgate,1.0
Nevada,Reno,1.0
Tennessee,Pigeon Forge,1.0
West Virginia,Charleston (Cross Lanes),2.0
Wisconsin,Loganville,1.0
South Carolina,Columbia,6.0
Florida,Miami (Doral),1.0
Georgia,Dallas,2.0
Arkansas,El Dorado,2.0
Kansas,Sawyer,1.0
Iowa,Des Moines,4.0
Arizona,Phoenix,5.0
Texas,Haltom City,1.0
Florida,Bay (county),1.0
Texas,Madisonville,1.0
Kansas,Salina,1.0
South Carolina,Clio,1.0
Florida,Marianna,1.0
California,Bakersfield,2.0
Maine,Ellsworth,1.0
Washington,Yakima,1.0
Iowa,Clarksville,1.0
Maine,Oakland,1.0
Idaho,Shoshone,1.0
California,Mammoth Lakes,1.0
North Carolina,Raleigh,1.0
Kansas,Lenexa,1.0
Texas,Conroe,1.0
North Carolina,Forest City,2.0
Ohio,Wakeman,1.0
Louisiana,Moreauville,1.0
Alabama,Atmore,1.0
South Carolina,Bluffton,1.0
Indiana,Fort Wayne,6.0
Illinois,Chicago,20.0
Louisiana,Lake Charles (Moss Bluff),1.0
Texas,Humble (Atascocita),1.0
Georgia,Cordele,1.0
Massachusetts,West Springfield,1.0
South Carolina,Seneca,1.0
Illinois,Barrington,1.0
Illinois,Des Plaines,1.0
Indiana,Gary,2.0
Michigan,Macomb,1.0
Illinois,Decatur,1.0
Michigan,Detroit,12.0
Michigan,Benton Harbor,1.0
Louisiana,Opelousas,2.0
Tennessee,Buchanan,1.0
Oklahoma,Davis,1.0
Alabama,Athens,1.0
North Carolina,Elizabeth City,1.0
Nebraska,Omaha,3.0
Illinois,Lansing,1.0
New Hampshire,Danville,1.0
Mississippi,Meridian,4.0
Virginia,Bluemont,2.0
Pennsylvania,Saylorsburg,1.0
Texas,Christine,2.0
Virginia,Chesapeake,1.0
Iowa,Council Bluffs,1.0
Iowa,Fort Dodge,1.0
South Dakota,Tripp (county),1.0
California,Vallejo,1.0
California,Thousand Palms,1.0
Minnesota,Stillwater,1.0
California,Compton,2.0
Mississippi,Pascagoula,1.0
Maine,Hebron,1.0
California,Carlsbad,3.0
Illinois,Rockford,1.0
California,Salinas,1.0
Massachusetts,South Hadley,1.0
Alabama,Brierfield,1.0
California,Oroville,1.0
Washington,Kelso,1.0
Louisiana,Longville,1.0
Georgia,Brunswick,3.0
Maine,Bath,1.0
Mississippi,Terry,1.0
Tennessee,Nashville,10.0
Alabama,Birmingham (Homewood),1.0
Texas,Hillsboro,1.0
Alabama,Birmingham,4.0
Missouri,Pineville,1.0
Texas,Scurry,1.0
Tennessee,Springfield,1.0
Utah,Sandy,2.0
Maryland,Lothian,1.0
Alabama,Lafayette,1.0
California,Hemet,1.0
New York,New York (Manhattan),2.0
Michigan,Marshall,1.0
Louisiana,Slidell,1.0
Florida,Sarasota,1.0
California,Tracy,1.0
Georgia,Smyrna,1.0
Missouri,Kansas City,2.0
Washington,Tacoma,2.0
Texas,Weatherford,2.0
Wisconsin,Milwaukee,8.0
Maine,Lewiston,1.0
Louisiana,Port Barre,1.0
Missouri,Columbia,6.0
Texas,Jefferson,2.0
Georgia,Augusta,3.0
North Carolina,Haw River,1.0
Texas,Bandera,1.0
Michigan,Pontiac,2.0
Louisiana,Arnaudville,1.0
Texas,San Angelo,1.0
Louisiana,New Orleans,5.0
Texas,Temple,1.0
Wisconsin,Cameron,1.0
Texas,Concepcion,1.0
Missouri,Monett,1.0
Idaho,Troy,1.0
Florida,Lake Worth,2.0
Ohio,Franklin,1.0
New Hampshire,Exeter (Brentwood),1.0
Illinois,Chicago (Englewood),1.0
Tennessee,Clarksville,5.0
Wisconsin,Russell,1.0
Ohio,Sandusky,1.0
Indiana,Howe,1.0
Illinois,Springfield,2.0
Oregon,Rocky Point,1.0
Ohio,Heath,2.0
Florida,Pompano Beach,1.0
Texas,Fort Worth,4.0
California,Pacifica,1.0
Missouri,Hartville,1.0
Maryland,Aquasco,1.0
Kentucky,Corbin,1.0
Alabama,Talladega,1.0
Alabama,Odenville,1.0
Oklahoma,Collinsville,1.0
South Carolina,Chesnee,1.0
Missouri,Saint Joseph,2.0
Vermont,Wells River,1.0
Indiana,Merrillville,1.0
Florida,Cocoa (Port Saint John),1.0
Michigan,Flint,1.0
Alabama,Mobile,5.0
Michigan,Clinton,1.0
Indiana,Muncie,1.0
Ohio,Wickliffe,1.0
Ohio,Fremont,1.0
Colorado,Fort Collins,1.0
Pennsylvania,Philadelphia,3.0
Ohio,Akron,3.0
Texas,Beaumont,3.0
Utah,Roosevelt (Ballard),1.0
Oklahoma,Bethany,1.0
Mississippi,Corinth,1.0
Mississippi,Cleveland,2.0
Ohio,Columbus,5.0
Texas,Tomball,1.0
Pennsylvania,Easton (Forks Township),1.0
Mississippi,Louisville,1.0
Mississippi,Starkville,1.0
Florida,Miami,1.0
Indiana,Monroe (county),2.0
Indiana,South Bend,5.0
Texas,Nome,1.0
Massachusetts,Lawrence,1.0
Texas,Deer Park,1.0
Georgia,Forest Park,1.0
Florida,Bradenton,3.0
Indiana,North Vernon,1.0
Iowa,Stuart,1.0
Kentucky,Hopkinsville,1.0
Louisiana,Chalmette,1.0
Ohio,Elyria,1.0
Colorado,Grand Junction,3.0
Kansas,Lawrence,4.0
Kentucky,Covington,3.0
Arkansas,Altheimer,1.0
Michigan,Six Lakes,1.0
New York,Wurtsboro,1.0
Pennsylvania,Chambersburg,1.0
California,Santa Rosa,1.0
California,Pacoima (Arleta),1.0
Vermont,Concord,1.0
Tennessee,Knoxville,4.0
South Carolina,Mount Pleasant,1.0
Washington,Morton,1.0
Ohio,Shadyside,1.0
Louisiana,Eunice,1.0
Washington,Spokane,2.0
Louisiana,Harvey,2.0
Minnesota,Aurora,1.0
Oklahoma,Chickasha,1.0
South Carolina,Spartanburg,2.0
Michigan,Merrill,2.0
Ohio,Blanchester,1.0
Massachusetts,Amherst,1.0
Alabama,Adger,1.0
New Jersey,Hope (Knowlton Township),1.0
Utah,Santaquin,1.0
Texas,Killeen,2.0
Florida,Orlando,3.0
Texas,Premont,1.0
Texas,Lubbock,2.0
Maryland,Hagerstown,1.0
Texas,Dallas,1.0
Texas,Dayton,1.0
Pennsylvania,Chester,1.0
Tennessee,Memphis,9.0
Ohio,Conneaut,1.0
Washington,Kent (Covington),1.0
Texas,Cleveland (Plum Grove),1.0
Pennsylvania,Lancaster,3.0
Tennessee,Murfreesboro,3.0
Michigan,Muskegon (Muskegon Heights),1.0
Texas,Tornillo,1.0
South Carolina,Walterboro,1.0
Nevada,Las Vegas,8.0
Georgia,Warner Robins,1.0
Florida,Greenacres,1.0
Florida,Myakka City,1.0
Alabama,Montgomery,5.0
Kentucky,Shelbyville,1.0
Mississippi,Carthage,1.0
Indiana,Lebanon,1.0
Maine,Greene,1.0
Kentucky,Somerset,1.0
Texas,Mcallen,2.0
Montana,Helena,1.0
New Jersey,Fair Lawn,2.0
Florida,Jacksonville,3.0
Nebraska,Burwell,1.0
South Carolina,Lancaster,1.0
Alabama,Tuscaloosa,1.0
Arkansas,Benton (Haskell),1.0
Kentucky,Richmond,1.0
Louisiana,Westlake,1.0
Virginia,Louisa,1.0
Colorado,Castle Rock,1.0
Tennessee,Englewood,1.0
Louisiana,Lake Charles,1.0
New York,Guilford,1.0
South Dakota,Aberdeen,2.0
South Carolina,Bowman,1.0
Michigan,Charlevoix,1.0
Massachusetts,Topsfield,1.0
Ohio,Dayton,3.0
Virginia,Norfolk,2.0
Tennessee,Dresden,1.0
Louisiana,Jennings,1.0
Oregon,Sherwood,2.0
Idaho,Nampa,1.0
South Carolina,Starr,1.0
Washington,Auburn,1.0
Kentucky,Louisville,2.0
Iowa,Waukon,1.0
Florida,Saint Augustine,1.0
Ohio,Minford,1.0
New York,Sherman,1.0
Alabama,Warrior,4.0
Kansas,Wichita,4.0
Oregon,Prineville,1.0
Kansas,Kinsley,1.0
Idaho,Smelterville,1.0
Ohio,Republic,1.0
Arkansas,Flippin,1.0
South Carolina,North Myrtle Beach,1.0
Washington,Renton,1.0
California,Long Beach,1.0
New York,Gowanda,1.0
Pennsylvania,Lock Haven,1.0
Delaware,Wilmington,1.0
Alabama,Aliceville,1.0
Missouri,Salem,1.0
California,Santa Cruz,1.0
Mississippi,Columbus,2.0
Virginia,Vinton,1.0
Oklahoma,Tulsa,12.0
Oklahoma,Lexington,1.0
Pennsylvania,Berwick,1.0
Florida,Fort Lauderdale (Sunrise),1.0
Minnesota,Brainerd,1.0
Washington,Pasco,1.0
Pennsylvania,West Mifflin,1.0
North Carolina,Mooresville,1.0
Pennsylvania,Columbia,1.0
Michigan,Alto,1.0
Pennsylvania,Ephrata,2.0
Arizona,Payson,1.0
Alabama,Dothan,1.0
Ohio,Lancaster,1.0
New Hampshire,Keene,1.0
Indiana,Terre Haute,1.0
North Carolina,Greenville,1.0
New Hampshire,Manchester,2.0
California,Seaside,1.0
North Carolina,Salisbury,1.0
Missouri,Florissant (Black Jack),1.0
Georgia,Newnan,1.0
South Carolina,Greenville,2.0
South Carolina,Inman,3.0
Arkansas,Cotton Plant (Maberry),1.0
Texas,Texas City,1.0
South Carolina,Lexington,1.0
Illinois,Oreana,2.0
California,Morgan Hill,1.0
Alabama,Cullman,2.0
Maryland,Dundalk,1.0
Wisconsin,Madison,2.0
Georgia,Columbus,4.0
Georgia,Hull,1.0
Alabama,Samson,2.0
Arkansas,Jonesboro,1.0
Pennsylvania,Bangor,1.0
Alaska,Barrow (Utqiagvik),1.0
Mississippi,Hattiesburg,2.0
Louisiana,Baton Rouge,4.0
Georgia,Jenkins (county),1.0
Maryland,Glenn Dale,1.0
South Dakota,Sioux Falls,1.0
Indiana,Anderson,1.0
South Carolina,Mc Bee (Mcbee),1.0
Kentucky,Campbellsville,1.0
Ohio,Mansfield,1.0
New Mexico,Albuquerque,1.0
California,San Diego,1.0
Colorado,Loma,1.0
Kansas,Hutchinson,1.0
Missouri,Saint Louis,10.0
Texas,Garland,1.0
Washington,Bellevue,1.0
South Carolina,Rock Hill,3.0
Massachusetts,Dighton,1.0
Iowa,Waterloo,1.0
Virginia,Fredericksburg,2.0
Oregon,Foster,1.0
Ohio,Groveport,1.0
Oregon,Umatilla,1.0
Pennsylvania,Harrisburg,1.0
Florida,Cape Coral,2.0
Ohio,Caldwell,1.0
Texas,Bulverde,1.0
Wisconsin,Union Grove,1.0
Georgia,Albany,2.0
Florida,Boynton Beach,2.0
Kansas,Overland Park,1.0
Florida,North Port,1.0
Kentucky,Elizabethtown,1.0
Minnesota,Minneapolis (Plymouth),1.0
Colorado,Westminster,1.0
Massachusetts,Lynn,1.0
Pennsylvania,Erie,2.0
Pennsylvania,York,1.0
Washington,Seattle (Burien),4.0
Tennessee,Cookeville,2.0
New York,Bronx,4.0
Oklahoma,Wynnewood,1.0
Tennessee,Butler,1.0
Colorado,Arboles,1.0
California,Montgomery Creek,1.0
Pennsylvania,Temple,1.0
Mississippi,Bay Saint Louis,1.0
New Hampshire,Litchfield,1.0
Georgia,Marietta,1.0
North Carolina,Lillington,1.0
Georgia,Macon,4.0
Pennsylvania,East Stroudsburg,1.0
Montana,Pablo,1.0
Nevada,West Wendover,1.0
Idaho,Idaho Falls,1.0
Florida,Big Pine Key,1.0
Arkansas,West Helena,1.0
Kentucky,Franklin,1.0
Alaska,Dillingham,1.0
Georgia,Riverdale,1.0
Florida,Melbourne,2.0
Illinois,Delavan,1.0
South Carolina,West Columbia,1.0
Georgia,Roswell,4.0
New York,Glen Cove,1.0
Tennessee,Afton,1.0
Louisiana,Shreveport,6.0
Indiana,Monticello,1.0
Indiana,Elizabeth,1.0
Virginia,Roanoke (Hollins),1.0
Kentucky,Paris,1.0
Indiana,Bedford,1.0
California,San Bernardino (Muscoy),1.0
South Carolina,Easley,1.0
Michigan,Jackson,1.0
North Carolina,Lumberton,3.0
Maryland,Frederick,1.0
Illinois,Wilmington,1.0
Wisconsin,Appleton,2.0
California,Newhall,1.0
North Carolina,Reidsville,1.0
Oklahoma,Oklahoma City,3.0
Louisiana,Lake Providence,1.0
Louisiana,Baker,1.0
California,Farmersville,3.0
Washington,Everett,1.0
Nebraska,Taylor,1.0
Massachusetts,Palmer,2.0
Alabama,Leeds,1.0
Tennessee,Memphis (Hickory Hill),1.0
Pennsylvania,New Bloomfield,1.0
Missouri,Florissant,1.0
Idaho,Latah (county),1.0
Louisiana,Monroe,2.0
Virginia,Chesterfield,1.0
Oregon,Silver Lake,1.0
Tennessee,Woodbury,1.0
Kentucky,Berea,1.0
South Dakota,Watertown,1.0
Illinois,Joliet,1.0
Virginia,Williamsburg,2.0
West Virginia,Shepherdstown,1.0
Florida,Fort Lauderdale (Dania Beach),1.0
Texas,Bryan,2.0
West Virginia,Princeton,1.0
Michigan,Coldwater,1.0
Mississippi,Greenville,2.0
Alaska,Juneau,2.0
Oregon,Roseburg,1.0
California,Oakland,2.0
California,Fresno,4.0
Arizona,Sierra Vista,1.0
Arizona,Glendale,2.0
New York,Rochester,3.0
Iowa,Iowa City,1.0
West Virginia,Martinsburg,1.0
California,Salinas (Prunedale),1.0
Georgia,Athens,2.0
Mississippi,Natchez,1.0
North Dakota,Williston,1.0
Indiana,Salem,1.0
Mississippi,Oxford,2.0
New York,Utica,2.0
Mississippi,Gulfport,2.0
Pennsylvania,Washington,1.0
Maine,Portland,2.0
Minnesota,Halstad,1.0
Connecticut,Stamford,1.0
North Carolina,Kinston,2.0
New York,Syracuse,4.0
Alabama,Bessemer (Concord),1.0
Pennsylvania,Red Lion,1.0
Louisiana,West Monroe,1.0
Kansas,Topeka,1.0
Texas,Borger,2.0
Alabama,Ozark,2.0
Florida,Lake Wales,2.0
Texas,Rockwall,1.0
Texas,Martinsville,1.0
Florida,Tampa,3.0
North Carolina,Wilmington,1.0
Virginia,Hampton,2.0
Maryland,Baltimore,3.0
Colorado,Sedalia,1.0
South Carolina,Hartsville,1.0
North Carolina,Taylorsville,2.0
Wisconsin,New Holstein,1.0
Indiana,Crown Point,1.0
Georgia,Lindale,2.0
Pennsylvania,Pittsburgh,1.0
Arizona,Mesa,2.0
Tennessee,Ashland City,1.0
Idaho,Cataldo,1.0
Florida,Merritt Island,1.0
Illinois,Belleville,1.0
California,Norwalk,1.0
New Mexico,Carlsbad,1.0
Alaska,Togiak,1.0
Colorado,Denver,1.0
Georgia,Griffin,1.0
Colorado,Saguache,1.0
Illinois,Sparta,2.0
California,Antioch,1.0
North Carolina,Marion,1.0
New Jersey,Keasbey,1.0
Michigan,Midland,1.0
Tennessee,Chattanooga,1.0
Georgia,Lagrange,1.0
Tennessee,Antioch,3.0
Maryland,Jessup,1.0
South Carolina,Gaffney,1.0
Indiana,Hammond,3.0
Nebraska,Genoa,1.0
North Carolina,Winston Salem (Winston-salem),1.0
South Carolina,Warrenville,1.0
Missouri,Hazelwood,1.0
Indiana,Hobart,1.0
North Carolina,Charlotte,2.0
South Dakota,Keystone,1.0
Pennsylvania,Youngsville,1.0
Washington,Seattle (Seatac),1.0
Virginia,Stafford,1.0
Maryland,Rawlings,1.0
Arkansas,Helena,1.0
Virginia,Henrico,2.0
Connecticut,New Haven,1.0
West Virginia,Huntington,1.0
Missouri,Miller,1.0
North Carolina,Leland (Belville),1.0
Virginia,Roanoke,2.0
Florida,Ocala,5.0
West Virginia,Charleston,1.0
Ohio,Newcomerstown,1.0
Oregon,Warrenton,1.0
Mississippi,Monticello,1.0
Alabama,Moulton,1.0
Ohio,Madison,1.0
Arkansas,Danville,1.0
Florida,Wimauma,1.0
Connecticut,Waterbury,1.0
Oklahoma,Lawton,1.0
Tennessee,Arlington,1.0
Nebraska,Lincoln,1.0
Michigan,South Haven,1.0
Tennessee,Greeneville,1.0
South Carolina,Myrtle Beach,3.0
Texas,Manvel,1.0
North Carolina,Fayetteville,1.0
Georgia,Savannah,2.0
Texas,Plantersville (Todd Mission),1.0
Texas,Waco,1.0
Texas,Big Spring,1.0
Colorado,Colorado Springs (Fort Carson),1.0
Colorado,Steamboat Springs,1.0
Louisiana,Oakdale,1.0
Kentucky,Georgetown,1.0
Tennessee,Morristown,1.0
Illinois,Chicago Heights (Ford Heights),1.0
Indiana,Indianapolis,5.0
Florida,Fort Lauderdale (Lauderhill),1.0
Florida,Lakeland,1.0
New York,Greig,1.0
Tennessee,Harrogate,1.0
Florida,Palm Beach (county),1.0
Georgia,Jefferson,1.0
Missouri,Ash Grove,1.0
Michigan,Memphis,1.0
